Susceptible, Exposed, Infectious, Recovered, Scenario
22, 8, 3, 120,base/Vaccinated
14, 16, 3, 120,base/Vaccinated
19, 11, 3, 120,base/Vaccinated
16, 14, 3, 120,base/Vaccinated
23, 7, 3, 120,base/Vaccinated
24, 6, 3, 120,base/Vaccinated
18, 12, 3, 120,base/Vaccinated
19, 11, 3, 120,base/Vaccinated
21, 9, 3, 120,base/Vaccinated
22, 8, 3, 120,base/Vaccinated
22, 8, 3, 120,base/Vaccinated
24, 6, 3, 120,base/Vaccinated
22, 8, 3, 120,base/Vaccinated
21, 9, 3, 120,base/Vaccinated
25, 5, 3, 120,base/Vaccinated
15, 15, 3, 120,base/Vaccinated
18, 12, 3, 120,base/Vaccinated
21, 9, 3, 120,base/Vaccinated
21, 9, 3, 120,base/Vaccinated
19, 11, 3, 120,base/Vaccinated
16, 14, 3, 120,base/Vaccinated
20, 10, 3, 120,base/Vaccinated
19, 11, 3, 120,base/Vaccinated
22, 8, 3, 120,base/Vaccinated
19, 11, 3, 120,base/Vaccinated
21, 9, 3, 120,base/Vaccinated
23, 7, 3, 120,base/Vaccinated
22, 8, 3, 120,base/Vaccinated
23, 7, 3, 120,base/Vaccinated
20, 10, 3, 120,base/Vaccinated
23, 7, 3, 120,base/Vaccinated
23, 7, 3, 120,base/Vaccinated
19, 11, 3, 120,base/Vaccinated
16, 14, 3, 120,base/Vaccinated
14, 16, 3, 120,base/Vaccinated
21, 9, 3, 120,base/Vaccinated
19, 11, 3, 120,base/Vaccinated
27, 3, 3, 120,base/Vaccinated
26, 4, 3, 120,base/Vaccinated
21, 9, 3, 120,base/Vaccinated
23, 7, 3, 120,base/Vaccinated
17, 13, 3, 120,base/Vaccinated
20, 10, 3, 120,base/Vaccinated
16, 14, 3, 120,base/Vaccinated
19, 11, 3, 120,base/Vaccinated
25, 5, 3, 120,base/Vaccinated
20, 10, 3, 120,base/Vaccinated
22, 8, 3, 120,base/Vaccinated
22, 8, 3, 120,base/Vaccinated
21, 9, 3, 120,base/Vaccinated
23, 7, 3, 120,base/Vaccinated
19, 11, 3, 120,base/Vaccinated
20, 10, 3, 120,base/Vaccinated
23, 7, 3, 120,base/Vaccinated
23, 7, 3, 120,base/Vaccinated
18, 12, 3, 120,base/Vaccinated
16, 14, 3, 120,base/Vaccinated
19, 11, 3, 120,base/Vaccinated
22, 8, 3, 120,base/Vaccinated
15, 15, 3, 120,base/Vaccinated
18, 12, 3, 120,base/Vaccinated
18, 12, 3, 120,base/Vaccinated
19, 11, 3, 120,base/Vaccinated
19, 11, 3, 120,base/Vaccinated
23, 7, 3, 120,base/Vaccinated
25, 5, 3, 120,base/Vaccinated
26, 4, 3, 120,base/Vaccinated
20, 10, 3, 120,base/Vaccinated
17, 13, 3, 120,base/Vaccinated
19, 11, 3, 120,base/Vaccinated
24, 6, 3, 120,base/Vaccinated
24, 6, 3, 120,base/Vaccinated
21, 9, 3, 120,base/Vaccinated
23, 7, 3, 120,base/Vaccinated
23, 7, 3, 120,base/Vaccinated
20, 10, 3, 120,base/Vaccinated
18, 12, 3, 120,base/Vaccinated
12, 18, 3, 120,base/Vaccinated
25, 5, 3, 120,base/Vaccinated
22, 8, 3, 120,base/Vaccinated
23, 7, 3, 120,base/Vaccinated
22, 8, 3, 120,base/Vaccinated
22, 8, 3, 120,base/Vaccinated
22, 8, 3, 120,base/Vaccinated
17, 13, 3, 120,base/Vaccinated
24, 6, 3, 120,base/Vaccinated
18, 12, 3, 120,base/Vaccinated
21, 9, 3, 120,base/Vaccinated
23, 7, 3, 120,base/Vaccinated
24, 6, 3, 120,base/Vaccinated
22, 8, 3, 120,base/Vaccinated
25, 5, 3, 120,base/Vaccinated
20, 10, 3, 120,base/Vaccinated
20, 10, 3, 120,base/Vaccinated
19, 11, 3, 120,base/Vaccinated
19, 11, 3, 120,base/Vaccinated
23, 7, 3, 120,base/Vaccinated
19, 11, 3, 120,base/Vaccinated
21, 9, 3, 120,base/Vaccinated
19, 11, 3, 120,base/Vaccinated
14, 16, 3, 120,base/Vaccinated
22, 8, 3, 120,base/Vaccinated
23, 7, 3, 120,base/Vaccinated
19, 11, 3, 120,base/Vaccinated
24, 6, 3, 120,base/Vaccinated
17, 13, 3, 120,base/Vaccinated
19, 11, 3, 120,base/Vaccinated
21, 9, 3, 120,base/Vaccinated
18, 12, 3, 120,base/Vaccinated
15, 15, 3, 120,base/Vaccinated
21, 9, 3, 120,base/Vaccinated
24, 6, 3, 120,base/Vaccinated
25, 5, 3, 120,base/Vaccinated
