Susceptible, Exposed, Infectious, Recovered, Scenario
13, 2, 3, 60,ClothMask/SD/Vaccinated
13, 2, 3, 60,ClothMask/SD/Vaccinated
13, 2, 3, 60,ClothMask/SD/Vaccinated
11, 4, 3, 60,ClothMask/SD/Vaccinated
9, 6, 3, 60,ClothMask/SD/Vaccinated
12, 3, 3, 60,ClothMask/SD/Vaccinated
12, 3, 3, 60,ClothMask/SD/Vaccinated
10, 5, 3, 60,ClothMask/SD/Vaccinated
13, 2, 3, 60,ClothMask/SD/Vaccinated
12, 3, 3, 60,ClothMask/SD/Vaccinated
9, 6, 3, 60,ClothMask/SD/Vaccinated
12, 3, 3, 60,ClothMask/SD/Vaccinated
12, 3, 3, 60,ClothMask/SD/Vaccinated
7, 8, 3, 60,ClothMask/SD/Vaccinated
12, 3, 3, 60,ClothMask/SD/Vaccinated
14, 1, 3, 60,ClothMask/SD/Vaccinated
11, 4, 3, 60,ClothMask/SD/Vaccinated
14, 1, 3, 60,ClothMask/SD/Vaccinated
11, 4, 3, 60,ClothMask/SD/Vaccinated
10, 5, 3, 60,ClothMask/SD/Vaccinated
13, 2, 3, 60,ClothMask/SD/Vaccinated
13, 2, 3, 60,ClothMask/SD/Vaccinated
11, 4, 3, 60,ClothMask/SD/Vaccinated
13, 2, 3, 60,ClothMask/SD/Vaccinated
11, 4, 3, 60,ClothMask/SD/Vaccinated
14, 1, 3, 60,ClothMask/SD/Vaccinated
14, 1, 3, 60,ClothMask/SD/Vaccinated
15, 0, 3, 60,ClothMask/SD/Vaccinated
10, 5, 3, 60,ClothMask/SD/Vaccinated
10, 5, 3, 60,ClothMask/SD/Vaccinated
8, 7, 3, 60,ClothMask/SD/Vaccinated
9, 6, 3, 60,ClothMask/SD/Vaccinated
14, 1, 3, 60,ClothMask/SD/Vaccinated
13, 2, 3, 60,ClothMask/SD/Vaccinated
13, 2, 3, 60,ClothMask/SD/Vaccinated
11, 4, 3, 60,ClothMask/SD/Vaccinated
12, 3, 3, 60,ClothMask/SD/Vaccinated
13, 2, 3, 60,ClothMask/SD/Vaccinated
13, 2, 3, 60,ClothMask/SD/Vaccinated
8, 7, 3, 60,ClothMask/SD/Vaccinated
14, 1, 3, 60,ClothMask/SD/Vaccinated
12, 3, 3, 60,ClothMask/SD/Vaccinated
12, 3, 3, 60,ClothMask/SD/Vaccinated
15, 0, 3, 60,ClothMask/SD/Vaccinated
14, 1, 3, 60,ClothMask/SD/Vaccinated
14, 1, 3, 60,ClothMask/SD/Vaccinated
10, 5, 3, 60,ClothMask/SD/Vaccinated
12, 3, 3, 60,ClothMask/SD/Vaccinated
11, 4, 3, 60,ClothMask/SD/Vaccinated
12, 3, 3, 60,ClothMask/SD/Vaccinated
11, 4, 3, 60,ClothMask/SD/Vaccinated
15, 0, 3, 60,ClothMask/SD/Vaccinated
11, 4, 3, 60,ClothMask/SD/Vaccinated
14, 1, 3, 60,ClothMask/SD/Vaccinated
14, 1, 3, 60,ClothMask/SD/Vaccinated
15, 0, 3, 60,ClothMask/SD/Vaccinated
12, 3, 3, 60,ClothMask/SD/Vaccinated
10, 5, 3, 60,ClothMask/SD/Vaccinated
10, 5, 3, 60,ClothMask/SD/Vaccinated
12, 3, 3, 60,ClothMask/SD/Vaccinated
12, 3, 3, 60,ClothMask/SD/Vaccinated
14, 1, 3, 60,ClothMask/SD/Vaccinated
12, 3, 3, 60,ClothMask/SD/Vaccinated
12, 3, 3, 60,ClothMask/SD/Vaccinated
9, 6, 3, 60,ClothMask/SD/Vaccinated
13, 2, 3, 60,ClothMask/SD/Vaccinated
14, 1, 3, 60,ClothMask/SD/Vaccinated
10, 5, 3, 60,ClothMask/SD/Vaccinated
11, 4, 3, 60,ClothMask/SD/Vaccinated
6, 9, 3, 60,ClothMask/SD/Vaccinated
10, 5, 3, 60,ClothMask/SD/Vaccinated
11, 4, 3, 60,ClothMask/SD/Vaccinated
14, 1, 3, 60,ClothMask/SD/Vaccinated
12, 3, 3, 60,ClothMask/SD/Vaccinated
11, 4, 3, 60,ClothMask/SD/Vaccinated
12, 3, 3, 60,ClothMask/SD/Vaccinated
10, 5, 3, 60,ClothMask/SD/Vaccinated
