Susceptible, Exposed, Infectious, Recovered, Scenario
59, 16, 3, 0,ClothMask/SD
65, 10, 3, 0,ClothMask/SD
70, 5, 3, 0,ClothMask/SD
64, 11, 3, 0,ClothMask/SD
64, 11, 3, 0,ClothMask/SD
58, 17, 3, 0,ClothMask/SD
65, 10, 3, 0,ClothMask/SD
59, 16, 3, 0,ClothMask/SD
68, 7, 3, 0,ClothMask/SD
66, 9, 3, 0,ClothMask/SD
64, 11, 3, 0,ClothMask/SD
66, 9, 3, 0,ClothMask/SD
67, 8, 3, 0,ClothMask/SD
64, 11, 3, 0,ClothMask/SD
57, 18, 3, 0,ClothMask/SD
64, 11, 3, 0,ClothMask/SD
68, 7, 3, 0,ClothMask/SD
67, 8, 3, 0,ClothMask/SD
64, 11, 3, 0,ClothMask/SD
63, 12, 3, 0,ClothMask/SD
59, 16, 3, 0,ClothMask/SD
57, 18, 3, 0,ClothMask/SD
59, 16, 3, 0,ClothMask/SD
62, 13, 3, 0,ClothMask/SD
63, 12, 3, 0,ClothMask/SD
60, 15, 3, 0,ClothMask/SD
62, 13, 3, 0,ClothMask/SD
62, 13, 3, 0,ClothMask/SD
64, 11, 3, 0,ClothMask/SD
64, 11, 3, 0,ClothMask/SD
61, 14, 3, 0,ClothMask/SD
62, 13, 3, 0,ClothMask/SD
60, 15, 3, 0,ClothMask/SD
62, 13, 3, 0,ClothMask/SD
61, 14, 3, 0,ClothMask/SD
62, 13, 3, 0,ClothMask/SD
66, 9, 3, 0,ClothMask/SD
60, 15, 3, 0,ClothMask/SD
62, 13, 3, 0,ClothMask/SD
61, 14, 3, 0,ClothMask/SD
65, 10, 3, 0,ClothMask/SD
62, 13, 3, 0,ClothMask/SD
61, 14, 3, 0,ClothMask/SD
68, 7, 3, 0,ClothMask/SD
58, 17, 3, 0,ClothMask/SD
64, 11, 3, 0,ClothMask/SD
61, 14, 3, 0,ClothMask/SD
63, 12, 3, 0,ClothMask/SD
65, 10, 3, 0,ClothMask/SD
63, 12, 3, 0,ClothMask/SD
68, 7, 3, 0,ClothMask/SD
63, 12, 3, 0,ClothMask/SD
62, 13, 3, 0,ClothMask/SD
60, 15, 3, 0,ClothMask/SD
63, 12, 3, 0,ClothMask/SD
61, 14, 3, 0,ClothMask/SD
59, 16, 3, 0,ClothMask/SD
56, 19, 3, 0,ClothMask/SD
61, 14, 3, 0,ClothMask/SD
65, 10, 3, 0,ClothMask/SD
69, 6, 3, 0,ClothMask/SD
61, 14, 3, 0,ClothMask/SD
63, 12, 3, 0,ClothMask/SD
63, 12, 3, 0,ClothMask/SD
65, 10, 3, 0,ClothMask/SD
60, 15, 3, 0,ClothMask/SD
62, 13, 3, 0,ClothMask/SD
62, 13, 3, 0,ClothMask/SD
56, 19, 3, 0,ClothMask/SD
62, 13, 3, 0,ClothMask/SD
62, 13, 3, 0,ClothMask/SD
62, 13, 3, 0,ClothMask/SD
61, 14, 3, 0,ClothMask/SD
61, 14, 3, 0,ClothMask/SD
60, 15, 3, 0,ClothMask/SD
63, 12, 3, 0,ClothMask/SD
60, 15, 3, 0,ClothMask/SD
64, 11, 3, 0,ClothMask/SD
68, 7, 3, 0,ClothMask/SD
69, 6, 3, 0,ClothMask/SD
63, 12, 3, 0,ClothMask/SD
64, 11, 3, 0,ClothMask/SD
63, 12, 3, 0,ClothMask/SD
65, 10, 3, 0,ClothMask/SD
61, 14, 3, 0,ClothMask/SD
66, 9, 3, 0,ClothMask/SD
63, 12, 3, 0,ClothMask/SD
64, 11, 3, 0,ClothMask/SD
62, 13, 3, 0,ClothMask/SD
68, 7, 3, 0,ClothMask/SD
63, 12, 3, 0,ClothMask/SD
62, 13, 3, 0,ClothMask/SD
61, 14, 3, 0,ClothMask/SD
65, 10, 3, 0,ClothMask/SD
66, 9, 3, 0,ClothMask/SD
63, 12, 3, 0,ClothMask/SD
59, 16, 3, 0,ClothMask/SD
57, 18, 3, 0,ClothMask/SD
61, 14, 3, 0,ClothMask/SD
63, 12, 3, 0,ClothMask/SD
59, 16, 3, 0,ClothMask/SD
66, 9, 3, 0,ClothMask/SD
64, 11, 3, 0,ClothMask/SD
65, 10, 3, 0,ClothMask/SD
70, 5, 3, 0,ClothMask/SD
60, 15, 3, 0,ClothMask/SD
62, 13, 3, 0,ClothMask/SD
62, 13, 3, 0,ClothMask/SD
65, 10, 3, 0,ClothMask/SD
65, 10, 3, 0,ClothMask/SD
60, 15, 3, 0,ClothMask/SD
61, 14, 3, 0,ClothMask/SD
66, 9, 3, 0,ClothMask/SD
60, 15, 3, 0,ClothMask/SD
64, 11, 3, 0,ClothMask/SD
61, 14, 3, 0,ClothMask/SD
65, 10, 3, 0,ClothMask/SD
64, 11, 3, 0,ClothMask/SD
64, 11, 3, 0,ClothMask/SD
65, 10, 3, 0,ClothMask/SD
69, 6, 3, 0,ClothMask/SD
61, 14, 3, 0,ClothMask/SD
56, 19, 3, 0,ClothMask/SD
65, 10, 3, 0,ClothMask/SD
63, 12, 3, 0,ClothMask/SD
66, 9, 3, 0,ClothMask/SD
59, 16, 3, 0,ClothMask/SD
68, 7, 3, 0,ClothMask/SD
60, 15, 3, 0,ClothMask/SD
67, 8, 3, 0,ClothMask/SD
62, 13, 3, 0,ClothMask/SD
62, 13, 3, 0,ClothMask/SD
69, 6, 3, 0,ClothMask/SD
65, 10, 3, 0,ClothMask/SD
56, 19, 3, 0,ClothMask/SD
59, 16, 3, 0,ClothMask/SD
65, 10, 3, 0,ClothMask/SD
56, 19, 3, 0,ClothMask/SD
60, 15, 3, 0,ClothMask/SD
53, 22, 3, 0,ClothMask/SD
65, 10, 3, 0,ClothMask/SD
57, 18, 3, 0,ClothMask/SD
65, 10, 3, 0,ClothMask/SD
64, 11, 3, 0,ClothMask/SD
69, 6, 3, 0,ClothMask/SD
66, 9, 3, 0,ClothMask/SD
64, 11, 3, 0,ClothMask/SD
62, 13, 3, 0,ClothMask/SD
51, 24, 3, 0,ClothMask/SD
66, 9, 3, 0,ClothMask/SD
66, 9, 3, 0,ClothMask/SD
62, 13, 3, 0,ClothMask/SD
62, 13, 3, 0,ClothMask/SD
64, 11, 3, 0,ClothMask/SD
61, 14, 3, 0,ClothMask/SD
59, 16, 3, 0,ClothMask/SD
65, 10, 3, 0,ClothMask/SD
64, 11, 3, 0,ClothMask/SD
61, 14, 3, 0,ClothMask/SD
61, 14, 3, 0,ClothMask/SD
66, 9, 3, 0,ClothMask/SD
60, 15, 3, 0,ClothMask/SD
64, 11, 3, 0,ClothMask/SD
63, 12, 3, 0,ClothMask/SD
59, 16, 3, 0,ClothMask/SD
61, 14, 3, 0,ClothMask/SD
65, 10, 3, 0,ClothMask/SD
64, 11, 3, 0,ClothMask/SD
65, 10, 3, 0,ClothMask/SD
68, 7, 3, 0,ClothMask/SD
64, 11, 3, 0,ClothMask/SD
59, 16, 3, 0,ClothMask/SD
60, 15, 3, 0,ClothMask/SD
