Susceptible, Exposed, Infectious, Recovered, Scenario
28, 2, 3, 120,ClothMask/Vaccinated
27, 3, 3, 120,ClothMask/Vaccinated
29, 1, 3, 120,ClothMask/Vaccinated
25, 5, 3, 120,ClothMask/Vaccinated
27, 3, 3, 120,ClothMask/Vaccinated
30, 0, 3, 120,ClothMask/Vaccinated
28, 2, 3, 120,ClothMask/Vaccinated
26, 4, 3, 120,ClothMask/Vaccinated
25, 5, 3, 120,ClothMask/Vaccinated
29, 1, 3, 120,ClothMask/Vaccinated
24, 6, 3, 120,ClothMask/Vaccinated
26, 4, 3, 120,ClothMask/Vaccinated
27, 3, 3, 120,ClothMask/Vaccinated
27, 3, 3, 120,ClothMask/Vaccinated
26, 4, 3, 120,ClothMask/Vaccinated
27, 3, 3, 120,ClothMask/Vaccinated
26, 4, 3, 120,ClothMask/Vaccinated
26, 4, 3, 120,ClothMask/Vaccinated
30, 0, 3, 120,ClothMask/Vaccinated
25, 5, 3, 120,ClothMask/Vaccinated
26, 4, 3, 120,ClothMask/Vaccinated
30, 0, 3, 120,ClothMask/Vaccinated
29, 1, 3, 120,ClothMask/Vaccinated
25, 5, 3, 120,ClothMask/Vaccinated
27, 3, 3, 120,ClothMask/Vaccinated
28, 2, 3, 120,ClothMask/Vaccinated
28, 2, 3, 120,ClothMask/Vaccinated
29, 1, 3, 120,ClothMask/Vaccinated
26, 4, 3, 120,ClothMask/Vaccinated
28, 2, 3, 120,ClothMask/Vaccinated
24, 6, 3, 120,ClothMask/Vaccinated
29, 1, 3, 120,ClothMask/Vaccinated
26, 4, 3, 120,ClothMask/Vaccinated
27, 3, 3, 120,ClothMask/Vaccinated
26, 4, 3, 120,ClothMask/Vaccinated
25, 5, 3, 120,ClothMask/Vaccinated
24, 6, 3, 120,ClothMask/Vaccinated
29, 1, 3, 120,ClothMask/Vaccinated
23, 7, 3, 120,ClothMask/Vaccinated
27, 3, 3, 120,ClothMask/Vaccinated
29, 1, 3, 120,ClothMask/Vaccinated
27, 3, 3, 120,ClothMask/Vaccinated
27, 3, 3, 120,ClothMask/Vaccinated
29, 1, 3, 120,ClothMask/Vaccinated
23, 7, 3, 120,ClothMask/Vaccinated
28, 2, 3, 120,ClothMask/Vaccinated
28, 2, 3, 120,ClothMask/Vaccinated
29, 1, 3, 120,ClothMask/Vaccinated
24, 6, 3, 120,ClothMask/Vaccinated
28, 2, 3, 120,ClothMask/Vaccinated
30, 0, 3, 120,ClothMask/Vaccinated
26, 4, 3, 120,ClothMask/Vaccinated
23, 7, 3, 120,ClothMask/Vaccinated
27, 3, 3, 120,ClothMask/Vaccinated
26, 4, 3, 120,ClothMask/Vaccinated
22, 8, 3, 120,ClothMask/Vaccinated
30, 0, 3, 120,ClothMask/Vaccinated
26, 4, 3, 120,ClothMask/Vaccinated
27, 3, 3, 120,ClothMask/Vaccinated
29, 1, 3, 120,ClothMask/Vaccinated
25, 5, 3, 120,ClothMask/Vaccinated
25, 5, 3, 120,ClothMask/Vaccinated
29, 1, 3, 120,ClothMask/Vaccinated
26, 4, 3, 120,ClothMask/Vaccinated
28, 2, 3, 120,ClothMask/Vaccinated
25, 5, 3, 120,ClothMask/Vaccinated
30, 0, 3, 120,ClothMask/Vaccinated
26, 4, 3, 120,ClothMask/Vaccinated
26, 4, 3, 120,ClothMask/Vaccinated
29, 1, 3, 120,ClothMask/Vaccinated
29, 1, 3, 120,ClothMask/Vaccinated
26, 4, 3, 120,ClothMask/Vaccinated
28, 2, 3, 120,ClothMask/Vaccinated
28, 2, 3, 120,ClothMask/Vaccinated
26, 4, 3, 120,ClothMask/Vaccinated
27, 3, 3, 120,ClothMask/Vaccinated
28, 2, 3, 120,ClothMask/Vaccinated
25, 5, 3, 120,ClothMask/Vaccinated
27, 3, 3, 120,ClothMask/Vaccinated
30, 0, 3, 120,ClothMask/Vaccinated
27, 3, 3, 120,ClothMask/Vaccinated
27, 3, 3, 120,ClothMask/Vaccinated
26, 4, 3, 120,ClothMask/Vaccinated
27, 3, 3, 120,ClothMask/Vaccinated
27, 3, 3, 120,ClothMask/Vaccinated
28, 2, 3, 120,ClothMask/Vaccinated
27, 3, 3, 120,ClothMask/Vaccinated
28, 2, 3, 120,ClothMask/Vaccinated
23, 7, 3, 120,ClothMask/Vaccinated
30, 0, 3, 120,ClothMask/Vaccinated
28, 2, 3, 120,ClothMask/Vaccinated
24, 6, 3, 120,ClothMask/Vaccinated
26, 4, 3, 120,ClothMask/Vaccinated
23, 7, 3, 120,ClothMask/Vaccinated
23, 7, 3, 120,ClothMask/Vaccinated
27, 3, 3, 120,ClothMask/Vaccinated
24, 6, 3, 120,ClothMask/Vaccinated
28, 2, 3, 120,ClothMask/Vaccinated
26, 4, 3, 120,ClothMask/Vaccinated
28, 2, 3, 120,ClothMask/Vaccinated
23, 7, 3, 120,ClothMask/Vaccinated
29, 1, 3, 120,ClothMask/Vaccinated
29, 1, 3, 120,ClothMask/Vaccinated
28, 2, 3, 120,ClothMask/Vaccinated
30, 0, 3, 120,ClothMask/Vaccinated
25, 5, 3, 120,ClothMask/Vaccinated
30, 0, 3, 120,ClothMask/Vaccinated
23, 7, 3, 120,ClothMask/Vaccinated
27, 3, 3, 120,ClothMask/Vaccinated
25, 5, 3, 120,ClothMask/Vaccinated
25, 5, 3, 120,ClothMask/Vaccinated
27, 3, 3, 120,ClothMask/Vaccinated
26, 4, 3, 120,ClothMask/Vaccinated
28, 2, 3, 120,ClothMask/Vaccinated
28, 2, 3, 120,ClothMask/Vaccinated
24, 6, 3, 120,ClothMask/Vaccinated
26, 4, 3, 120,ClothMask/Vaccinated
26, 4, 3, 120,ClothMask/Vaccinated
29, 1, 3, 120,ClothMask/Vaccinated
24, 6, 3, 120,ClothMask/Vaccinated
27, 3, 3, 120,ClothMask/Vaccinated
27, 3, 3, 120,ClothMask/Vaccinated
30, 0, 3, 120,ClothMask/Vaccinated
25, 5, 3, 120,ClothMask/Vaccinated
23, 7, 3, 120,ClothMask/Vaccinated
25, 5, 3, 120,ClothMask/Vaccinated
27, 3, 3, 120,ClothMask/Vaccinated
23, 7, 3, 120,ClothMask/Vaccinated
27, 3, 3, 120,ClothMask/Vaccinated
26, 4, 3, 120,ClothMask/Vaccinated
23, 7, 3, 120,ClothMask/Vaccinated
30, 0, 3, 120,ClothMask/Vaccinated
29, 1, 3, 120,ClothMask/Vaccinated
26, 4, 3, 120,ClothMask/Vaccinated
27, 3, 3, 120,ClothMask/Vaccinated
28, 2, 3, 120,ClothMask/Vaccinated
24, 6, 3, 120,ClothMask/Vaccinated
30, 0, 3, 120,ClothMask/Vaccinated
26, 4, 3, 120,ClothMask/Vaccinated
28, 2, 3, 120,ClothMask/Vaccinated
26, 4, 3, 120,ClothMask/Vaccinated
30, 0, 3, 120,ClothMask/Vaccinated
27, 3, 3, 120,ClothMask/Vaccinated
27, 3, 3, 120,ClothMask/Vaccinated
26, 4, 3, 120,ClothMask/Vaccinated
22, 8, 3, 120,ClothMask/Vaccinated
24, 6, 3, 120,ClothMask/Vaccinated
27, 3, 3, 120,ClothMask/Vaccinated
