Susceptible, Exposed, Infectious, Recovered, Scenario
75, 0, 3, 0,N95/SD
75, 0, 3, 0,N95/SD
75, 0, 3, 0,N95/SD
75, 0, 3, 0,N95/SD
75, 0, 3, 0,N95/SD
75, 0, 3, 0,N95/SD
75, 0, 3, 0,N95/SD
75, 0, 3, 0,N95/SD
75, 0, 3, 0,N95/SD
75, 0, 3, 0,N95/SD
75, 0, 3, 0,N95/SD
75, 0, 3, 0,N95/SD
75, 0, 3, 0,N95/SD
75, 0, 3, 0,N95/SD
75, 0, 3, 0,N95/SD
75, 0, 3, 0,N95/SD
75, 0, 3, 0,N95/SD
75, 0, 3, 0,N95/SD
75, 0, 3, 0,N95/SD
75, 0, 3, 0,N95/SD
75, 0, 3, 0,N95/SD
75, 0, 3, 0,N95/SD
75, 0, 3, 0,N95/SD
75, 0, 3, 0,N95/SD
75, 0, 3, 0,N95/SD
75, 0, 3, 0,N95/SD
75, 0, 3, 0,N95/SD
75, 0, 3, 0,N95/SD
75, 0, 3, 0,N95/SD
75, 0, 3, 0,N95/SD
75, 0, 3, 0,N95/SD
75, 0, 3, 0,N95/SD
75, 0, 3, 0,N95/SD
75, 0, 3, 0,N95/SD
75, 0, 3, 0,N95/SD
75, 0, 3, 0,N95/SD
75, 0, 3, 0,N95/SD
75, 0, 3, 0,N95/SD
75, 0, 3, 0,N95/SD
75, 0, 3, 0,N95/SD
75, 0, 3, 0,N95/SD
75, 0, 3, 0,N95/SD
75, 0, 3, 0,N95/SD
75, 0, 3, 0,N95/SD
75, 0, 3, 0,N95/SD
75, 0, 3, 0,N95/SD
75, 0, 3, 0,N95/SD
75, 0, 3, 0,N95/SD
75, 0, 3, 0,N95/SD
75, 0, 3, 0,N95/SD
75, 0, 3, 0,N95/SD
75, 0, 3, 0,N95/SD
75, 0, 3, 0,N95/SD
75, 0, 3, 0,N95/SD
75, 0, 3, 0,N95/SD
75, 0, 3, 0,N95/SD
75, 0, 3, 0,N95/SD
75, 0, 3, 0,N95/SD
75, 0, 3, 0,N95/SD
75, 0, 3, 0,N95/SD
75, 0, 3, 0,N95/SD
75, 0, 3, 0,N95/SD
75, 0, 3, 0,N95/SD
75, 0, 3, 0,N95/SD
75, 0, 3, 0,N95/SD
75, 0, 3, 0,N95/SD
75, 0, 3, 0,N95/SD
75, 0, 3, 0,N95/SD
75, 0, 3, 0,N95/SD
75, 0, 3, 0,N95/SD
75, 0, 3, 0,N95/SD
75, 0, 3, 0,N95/SD
75, 0, 3, 0,N95/SD
75, 0, 3, 0,N95/SD
75, 0, 3, 0,N95/SD
75, 0, 3, 0,N95/SD
75, 0, 3, 0,N95/SD
75, 0, 3, 0,N95/SD
75, 0, 3, 0,N95/SD
75, 0, 3, 0,N95/SD
75, 0, 3, 0,N95/SD
75, 0, 3, 0,N95/SD
75, 0, 3, 0,N95/SD
75, 0, 3, 0,N95/SD
75, 0, 3, 0,N95/SD
75, 0, 3, 0,N95/SD
75, 0, 3, 0,N95/SD
75, 0, 3, 0,N95/SD
75, 0, 3, 0,N95/SD
75, 0, 3, 0,N95/SD
75, 0, 3, 0,N95/SD
75, 0, 3, 0,N95/SD
75, 0, 3, 0,N95/SD
75, 0, 3, 0,N95/SD
75, 0, 3, 0,N95/SD
75, 0, 3, 0,N95/SD
