Susceptible, Exposed, Infectious, Recovered, Scenario
30, 0, 3, 120,N95/Vaccinated
30, 0, 3, 120,N95/Vaccinated
30, 0, 3, 120,N95/Vaccinated
30, 0, 3, 120,N95/Vaccinated
30, 0, 3, 120,N95/Vaccinated
30, 0, 3, 120,N95/Vaccinated
30, 0, 3, 120,N95/Vaccinated
30, 0, 3, 120,N95/Vaccinated
30, 0, 3, 120,N95/Vaccinated
30, 0, 3, 120,N95/Vaccinated
30, 0, 3, 120,N95/Vaccinated
30, 0, 3, 120,N95/Vaccinated
30, 0, 3, 120,N95/Vaccinated
30, 0, 3, 120,N95/Vaccinated
30, 0, 3, 120,N95/Vaccinated
30, 0, 3, 120,N95/Vaccinated
30, 0, 3, 120,N95/Vaccinated
30, 0, 3, 120,N95/Vaccinated
30, 0, 3, 120,N95/Vaccinated
30, 0, 3, 120,N95/Vaccinated
30, 0, 3, 120,N95/Vaccinated
30, 0, 3, 120,N95/Vaccinated
30, 0, 3, 120,N95/Vaccinated
30, 0, 3, 120,N95/Vaccinated
30, 0, 3, 120,N95/Vaccinated
30, 0, 3, 120,N95/Vaccinated
30, 0, 3, 120,N95/Vaccinated
30, 0, 3, 120,N95/Vaccinated
30, 0, 3, 120,N95/Vaccinated
30, 0, 3, 120,N95/Vaccinated
30, 0, 3, 120,N95/Vaccinated
30, 0, 3, 120,N95/Vaccinated
30, 0, 3, 120,N95/Vaccinated
30, 0, 3, 120,N95/Vaccinated
30, 0, 3, 120,N95/Vaccinated
30, 0, 3, 120,N95/Vaccinated
30, 0, 3, 120,N95/Vaccinated
30, 0, 3, 120,N95/Vaccinated
30, 0, 3, 120,N95/Vaccinated
30, 0, 3, 120,N95/Vaccinated
30, 0, 3, 120,N95/Vaccinated
30, 0, 3, 120,N95/Vaccinated
30, 0, 3, 120,N95/Vaccinated
30, 0, 3, 120,N95/Vaccinated
30, 0, 3, 120,N95/Vaccinated
30, 0, 3, 120,N95/Vaccinated
30, 0, 3, 120,N95/Vaccinated
30, 0, 3, 120,N95/Vaccinated
30, 0, 3, 120,N95/Vaccinated
30, 0, 3, 120,N95/Vaccinated
30, 0, 3, 120,N95/Vaccinated
30, 0, 3, 120,N95/Vaccinated
30, 0, 3, 120,N95/Vaccinated
30, 0, 3, 120,N95/Vaccinated
30, 0, 3, 120,N95/Vaccinated
30, 0, 3, 120,N95/Vaccinated
30, 0, 3, 120,N95/Vaccinated
30, 0, 3, 120,N95/Vaccinated
30, 0, 3, 120,N95/Vaccinated
30, 0, 3, 120,N95/Vaccinated
30, 0, 3, 120,N95/Vaccinated
30, 0, 3, 120,N95/Vaccinated
30, 0, 3, 120,N95/Vaccinated
30, 0, 3, 120,N95/Vaccinated
30, 0, 3, 120,N95/Vaccinated
30, 0, 3, 120,N95/Vaccinated
