Susceptible, Exposed, Infectious, Recovered, Scenario
19, 5, 3, 0,ClothMask
17, 7, 3, 0,ClothMask
18, 6, 3, 0,ClothMask
21, 3, 3, 0,ClothMask
20, 4, 3, 0,ClothMask
19, 5, 3, 0,ClothMask
19, 5, 3, 0,ClothMask
17, 7, 3, 0,ClothMask
13, 11, 3, 0,ClothMask
20, 4, 3, 0,ClothMask
19, 5, 3, 0,ClothMask
19, 5, 3, 0,ClothMask
20, 4, 3, 0,ClothMask
22, 2, 3, 0,ClothMask
13, 11, 3, 0,ClothMask
20, 4, 3, 0,ClothMask
17, 7, 3, 0,ClothMask
20, 4, 3, 0,ClothMask
22, 2, 3, 0,ClothMask
20, 4, 3, 0,ClothMask
21, 3, 3, 0,ClothMask
19, 5, 3, 0,ClothMask
21, 3, 3, 0,ClothMask
22, 2, 3, 0,ClothMask
17, 7, 3, 0,ClothMask
18, 6, 3, 0,ClothMask
16, 8, 3, 0,ClothMask
20, 4, 3, 0,ClothMask
23, 1, 3, 0,ClothMask
17, 7, 3, 0,ClothMask
22, 2, 3, 0,ClothMask
18, 6, 3, 0,ClothMask
20, 4, 3, 0,ClothMask
16, 8, 3, 0,ClothMask
20, 4, 3, 0,ClothMask
15, 9, 3, 0,ClothMask
22, 2, 3, 0,ClothMask
22, 2, 3, 0,ClothMask
19, 5, 3, 0,ClothMask
18, 6, 3, 0,ClothMask
21, 3, 3, 0,ClothMask
22, 2, 3, 0,ClothMask
18, 6, 3, 0,ClothMask
20, 4, 3, 0,ClothMask
18, 6, 3, 0,ClothMask
17, 7, 3, 0,ClothMask
20, 4, 3, 0,ClothMask
19, 5, 3, 0,ClothMask
17, 7, 3, 0,ClothMask
19, 5, 3, 0,ClothMask
20, 4, 3, 0,ClothMask
17, 7, 3, 0,ClothMask
20, 4, 3, 0,ClothMask
20, 4, 3, 0,ClothMask
17, 7, 3, 0,ClothMask
15, 9, 3, 0,ClothMask
19, 5, 3, 0,ClothMask
20, 4, 3, 0,ClothMask
21, 3, 3, 0,ClothMask
15, 9, 3, 0,ClothMask
15, 9, 3, 0,ClothMask
20, 4, 3, 0,ClothMask
19, 5, 3, 0,ClothMask
20, 4, 3, 0,ClothMask
19, 5, 3, 0,ClothMask
19, 5, 3, 0,ClothMask
21, 3, 3, 0,ClothMask
20, 4, 3, 0,ClothMask
21, 3, 3, 0,ClothMask
16, 8, 3, 0,ClothMask
18, 6, 3, 0,ClothMask
20, 4, 3, 0,ClothMask
21, 3, 3, 0,ClothMask
21, 3, 3, 0,ClothMask
15, 9, 3, 0,ClothMask
16, 8, 3, 0,ClothMask
20, 4, 3, 0,ClothMask
18, 6, 3, 0,ClothMask
17, 7, 3, 0,ClothMask
18, 6, 3, 0,ClothMask
20, 4, 3, 0,ClothMask
14, 10, 3, 0,ClothMask
20, 4, 3, 0,ClothMask
19, 5, 3, 0,ClothMask
20, 4, 3, 0,ClothMask
17, 7, 3, 0,ClothMask
16, 8, 3, 0,ClothMask
21, 3, 3, 0,ClothMask
19, 5, 3, 0,ClothMask
19, 5, 3, 0,ClothMask
21, 3, 3, 0,ClothMask
16, 8, 3, 0,ClothMask
17, 7, 3, 0,ClothMask
19, 5, 3, 0,ClothMask
16, 8, 3, 0,ClothMask
19, 5, 3, 0,ClothMask
19, 5, 3, 0,ClothMask
19, 5, 3, 0,ClothMask
19, 5, 3, 0,ClothMask
22, 2, 3, 0,ClothMask
23, 1, 3, 0,ClothMask
21, 3, 3, 0,ClothMask
20, 4, 3, 0,ClothMask
20, 4, 3, 0,ClothMask
16, 8, 3, 0,ClothMask
21, 3, 3, 0,ClothMask
17, 7, 3, 0,ClothMask
13, 11, 3, 0,ClothMask
16, 8, 3, 0,ClothMask
20, 4, 3, 0,ClothMask
19, 5, 3, 0,ClothMask
20, 4, 3, 0,ClothMask
16, 8, 3, 0,ClothMask
22, 2, 3, 0,ClothMask
19, 5, 3, 0,ClothMask
20, 4, 3, 0,ClothMask
16, 8, 3, 0,ClothMask
20, 4, 3, 0,ClothMask
20, 4, 3, 0,ClothMask
19, 5, 3, 0,ClothMask
21, 3, 3, 0,ClothMask
18, 6, 3, 0,ClothMask
18, 6, 3, 0,ClothMask
21, 3, 3, 0,ClothMask
20, 4, 3, 0,ClothMask
18, 6, 3, 0,ClothMask
19, 5, 3, 0,ClothMask
18, 6, 3, 0,ClothMask
19, 5, 3, 0,ClothMask
16, 8, 3, 0,ClothMask
18, 6, 3, 0,ClothMask
15, 9, 3, 0,ClothMask
20, 4, 3, 0,ClothMask
19, 5, 3, 0,ClothMask
18, 6, 3, 0,ClothMask
21, 3, 3, 0,ClothMask
18, 6, 3, 0,ClothMask
21, 3, 3, 0,ClothMask
19, 5, 3, 0,ClothMask
21, 3, 3, 0,ClothMask
17, 7, 3, 0,ClothMask
15, 9, 3, 0,ClothMask
19, 5, 3, 0,ClothMask
21, 3, 3, 0,ClothMask
19, 5, 3, 0,ClothMask
22, 2, 3, 0,ClothMask
18, 6, 3, 0,ClothMask
13, 11, 3, 0,ClothMask
19, 5, 3, 0,ClothMask
17, 7, 3, 0,ClothMask
20, 4, 3, 0,ClothMask
16, 8, 3, 0,ClothMask
17, 7, 3, 0,ClothMask
21, 3, 3, 0,ClothMask
23, 1, 3, 0,ClothMask
19, 5, 3, 0,ClothMask
19, 5, 3, 0,ClothMask
20, 4, 3, 0,ClothMask
16, 8, 3, 0,ClothMask
16, 8, 3, 0,ClothMask
16, 8, 3, 0,ClothMask
18, 6, 3, 0,ClothMask
20, 4, 3, 0,ClothMask
22, 2, 3, 0,ClothMask
19, 5, 3, 0,ClothMask
21, 3, 3, 0,ClothMask
22, 2, 3, 0,ClothMask
17, 7, 3, 0,ClothMask
20, 4, 3, 0,ClothMask
19, 5, 3, 0,ClothMask
19, 5, 3, 0,ClothMask
20, 4, 3, 0,ClothMask
19, 5, 3, 0,ClothMask
18, 6, 3, 0,ClothMask
16, 8, 3, 0,ClothMask
18, 6, 3, 0,ClothMask
17, 7, 3, 0,ClothMask
21, 3, 3, 0,ClothMask
16, 8, 3, 0,ClothMask
19, 5, 3, 0,ClothMask
18, 6, 3, 0,ClothMask
18, 6, 3, 0,ClothMask
15, 9, 3, 0,ClothMask
18, 6, 3, 0,ClothMask
20, 4, 3, 0,ClothMask
16, 8, 3, 0,ClothMask
19, 5, 3, 0,ClothMask
20, 4, 3, 0,ClothMask
19, 5, 3, 0,ClothMask
21, 3, 3, 0,ClothMask
21, 3, 3, 0,ClothMask
16, 8, 3, 0,ClothMask
21, 3, 3, 0,ClothMask
20, 4, 3, 0,ClothMask
22, 2, 3, 0,ClothMask
17, 7, 3, 0,ClothMask
19, 5, 3, 0,ClothMask
19, 5, 3, 0,ClothMask
18, 6, 3, 0,ClothMask
20, 4, 3, 0,ClothMask
20, 4, 3, 0,ClothMask
20, 4, 3, 0,ClothMask
16, 8, 3, 0,ClothMask
20, 4, 3, 0,ClothMask
18, 6, 3, 0,ClothMask
19, 5, 3, 0,ClothMask
16, 8, 3, 0,ClothMask
18, 6, 3, 0,ClothMask
22, 2, 3, 0,ClothMask
15, 9, 3, 0,ClothMask
17, 7, 3, 0,ClothMask
21, 3, 3, 0,ClothMask
18, 6, 3, 0,ClothMask
19, 5, 3, 0,ClothMask
17, 7, 3, 0,ClothMask
20, 4, 3, 0,ClothMask
