Susceptible, Exposed, Infectious, Recovered, Scenario
24, 0, 3, 0,N95
24, 0, 3, 0,N95
24, 0, 3, 0,N95
24, 0, 3, 0,N95
24, 0, 3, 0,N95
24, 0, 3, 0,N95
24, 0, 3, 0,N95
24, 0, 3, 0,N95
24, 0, 3, 0,N95
24, 0, 3, 0,N95
24, 0, 3, 0,N95
24, 0, 3, 0,N95
24, 0, 3, 0,N95
24, 0, 3, 0,N95
24, 0, 3, 0,N95
24, 0, 3, 0,N95
24, 0, 3, 0,N95
24, 0, 3, 0,N95
24, 0, 3, 0,N95
24, 0, 3, 0,N95
24, 0, 3, 0,N95
24, 0, 3, 0,N95
24, 0, 3, 0,N95
24, 0, 3, 0,N95
24, 0, 3, 0,N95
24, 0, 3, 0,N95
24, 0, 3, 0,N95
24, 0, 3, 0,N95
24, 0, 3, 0,N95
24, 0, 3, 0,N95
24, 0, 3, 0,N95
24, 0, 3, 0,N95
24, 0, 3, 0,N95
24, 0, 3, 0,N95
24, 0, 3, 0,N95
24, 0, 3, 0,N95
24, 0, 3, 0,N95
24, 0, 3, 0,N95
24, 0, 3, 0,N95
24, 0, 3, 0,N95
24, 0, 3, 0,N95
24, 0, 3, 0,N95
24, 0, 3, 0,N95
24, 0, 3, 0,N95
24, 0, 3, 0,N95
24, 0, 3, 0,N95
24, 0, 3, 0,N95
24, 0, 3, 0,N95
24, 0, 3, 0,N95
24, 0, 3, 0,N95
24, 0, 3, 0,N95
24, 0, 3, 0,N95
24, 0, 3, 0,N95
24, 0, 3, 0,N95
24, 0, 3, 0,N95
24, 0, 3, 0,N95
24, 0, 3, 0,N95
24, 0, 3, 0,N95
24, 0, 3, 0,N95
24, 0, 3, 0,N95
24, 0, 3, 0,N95
24, 0, 3, 0,N95
24, 0, 3, 0,N95
24, 0, 3, 0,N95
24, 0, 3, 0,N95
24, 0, 3, 0,N95
24, 0, 3, 0,N95
24, 0, 3, 0,N95
24, 0, 3, 0,N95
24, 0, 3, 0,N95
24, 0, 3, 0,N95
24, 0, 3, 0,N95
24, 0, 3, 0,N95
24, 0, 3, 0,N95
24, 0, 3, 0,N95
24, 0, 3, 0,N95
24, 0, 3, 0,N95
24, 0, 3, 0,N95
